time,y
19939,-9.767424
19956,-9.708583
19976,-9.83607
19996,-9.816457
20017,-9.826263
20038,-9.80665
20056,-9.787037
20076,-9.796844
20097,-9.708583
20117,-9.757616
20138,-9.855683
20158,-9.95375
20178,-9.9047165
20198,-9.9047165
20218,-9.963556
20242,-10.002783
20258,-10.434276
20278,-10.257755
20298,-10.081236
20321,-9.992976
20340,-10.002783
20359,-9.875297
20379,-9.885103
20401,-9.943943
20420,-9.83607
20439,-9.708583
20468,-9.83607
20479,-9.80665
20500,-9.60071
20524,-9.60071
20539,-9.561483
20560,-9.443804
20580,-9.639936
20600,-9.826263
20620,-9.796844
20640,-10.022396
20660,-10.110656
20681,-10.002783
20701,-10.002783
20721,-10.130269
20741,-10.169496
20761,-10.169496
20781,-10.100849
20803,-10.130269
20826,-10.218529
20842,-10.0910425
20862,-10.110656
20884,-10.120462
20904,-10.100849
20927,-10.032203
20944,-9.826263
20962,-9.826263
20983,-9.787037
21004,-9.80665
21027,-9.826263
21045,-9.816457
21063,-9.885103
21083,-9.875297
21104,-9.973363
21131,-9.973363
21146,-9.98317
21163,-10.071429
21183,-10.296982
21204,-10.1989155
21224,-10.189109
21244,-10.1989155
21264,-10.267562
21285,-10.316595
21304,-10.0910425
21325,-10.0910425
21345,-10.120462
21365,-10.012589
21385,-10.071429
21405,-10.110656
21425,-9.885103
21446,-9.77723
21465,-9.80665
21486,-9.77723
21506,-9.77723
21526,-9.89491
21547,-9.963556
21566,-9.95375
21586,-9.963556
21607,-10.042009
21627,-10.140076
21647,-10.042009
21667,-10.002783
21687,-9.92433
21707,-9.86549
21727,-10.002783
21748,-10.0910425
21768,-10.110656
21788,-10.081236
21808,-9.992976
21828,-9.9047165
21848,-9.885103
21869,-9.914523
21890,-10.130269
21909,-10.149882
21929,-10.0910425
21949,-9.9047165
21969,-9.816457
21989,-9.9047165
22009,-9.92433
22029,-9.826263
22050,-9.934136
22070,-10.061623
22090,-9.973363
22110,-10.032203
22131,-9.992976
22150,-10.032203
22171,-10.051816
22191,-10.002783
22211,-10.061623
22231,-10.120462
22251,-10.022396
22271,-10.012589
22291,-10.169496
22312,-10.120462
22332,-9.973363
22351,-9.845877
22372,-9.86549
22392,-9.95375
22412,-9.826263
22432,-9.738003
22453,-9.86549
22473,-9.89491
22494,-9.767424
22513,-9.80665
22534,-9.7183895
22554,-9.502644
22573,-9.65955
22594,-9.60071
22614,-9.738003
22634,-9.77723
22654,-10.189109
22675,-10.042009
22695,-10.120462
22714,-10.159689
22735,-10.247949
22754,-10.238142
22774,-10.218529
22795,-10.238142
22815,-10.287175
22836,-10.306788
22855,-10.189109
22875,-10.130269
22895,-10.012589
22915,-9.9047165
22936,-10.071429
22952,-10.022396
22976,-10.061623
22996,-9.943943
23017,-9.86549
23037,-9.86549
23057,-9.9047165
23078,-9.89491
23097,-9.747809
23117,-9.728196
23140,-9.708583
23158,-9.679163
23178,-9.45361
23198,-9.51245
23220,-9.5320635
23238,-9.551677
23258,-9.65955
23279,-9.757616
23299,-9.9047165
23320,-9.934136
23338,-10.042009
23359,-10.061623
23381,-10.247949
23404,-10.424469
23421,-10.159689
23439,-10.081236
23460,-10.1989155
23481,-10.385242
23504,-10.267562
23520,-10.071429
23540,-10.306788
23560,-10.512729
23582,-10.444082
23603,-10.267562
23620,-10.346016
23640,-10.277369
23667,-10.189109
23702,-10.228335
23731,-10.022396
23751,-9.77723
23773,-9.89491
23791,-10.032203
23812,-9.914523
23832,-9.708583
23853,-9.86549
23873,-9.934136
23895,-9.95375
23913,-10.120462
23933,-10.061623
23955,-10.002783
23973,-9.934136
23993,-9.845877
24014,-9.914523
24034,-10.061623
24064,-10.120462
24074,-10.169496
24094,-10.257755
24114,-10.100849
24134,-9.9047165
24155,-9.9047165
24175,-9.875297
24195,-9.855683
24217,-9.973363
24239,-10.032203
24256,-9.992976
24276,-10.149882
24296,-10.140076
24317,-10.022396
24336,-10.002783
24358,-9.845877
24376,-9.875297
24396,-9.973363
24417,-9.98317
24437,-9.992976
24458,-10.061623
24474,-10.032203
24497,-9.767424
24518,-9.796844
24540,-10.012589
24557,-10.061623
24577,-10.012589
24598,-10.169496
24619,-10.208722
24639,-10.1989155
24658,-10.081236
24678,-10.051816
24699,-10.071429
24719,-10.071429
24744,-10.002783
24760,-9.95375
24779,-9.885103
24799,-9.934136
24820,-9.826263
24841,-9.9047165
24860,-10.012589
24879,-9.9047165
24901,-9.7183895
