time,x,y,z
28243,-0.2157463,-9.885103,-0.049033247
28263,-0.20593965,-10.022396,-0.06864655
28285,-0.18632634,-9.9047165,0.00980665
28308,-0.17651969,-9.728196,-0.0588399
28324,-0.18632634,-9.95375,-0.06864655
28344,-0.24516624,-10.100849,-0.0784532
28364,-0.20593965,-10.081236,-0.00980665
28385,-0.24516624,-10.140076,-0.088259846
28408,-0.2157463,-10.0910425,-0.098066494
28424,-0.16671304,-10.0910425,-0.088259846
28445,-0.16671304,-10.032203,-0.06864655
28465,-0.1569064,-10.042009,-0.1176798
28485,-0.1569064,-10.071429,-0.12748645
28515,-0.18632634,-9.855683,-0.12748645
28526,-0.16671304,-10.012589,-0.06864655
28545,-0.20593965,-10.149882,-0.06864655
28565,-0.22555295,-10.179302,-0.088259846
28585,-0.19613299,-10.120462,-0.10787315
28605,-0.2157463,-10.169496,-0.10787315
28625,-0.19613299,-10.189109,-0.1372931
28646,-0.14709975,-9.973363,0.00980665
28665,-0.1372931,-9.80665,-0.0196133
28686,-0.16671304,-9.875297,-0.049033247
28706,-0.18632634,-9.796844,-0.06864655
28727,-0.2549729,-9.83607,-0.0392266
28747,-0.20593965,-10.002783,-0.088259846
28767,-0.2157463,-9.992976,-0.0196133
28787,-0.2157463,-9.963556,-0.0392266
28810,-0.20593965,-9.9047165,-0.02941995
28827,-0.16671304,-9.885103,-0.0784532
28847,-0.1569064,-9.738003,-0.10787315
28868,-0.1569064,-9.669356,-0.1569064
28888,-0.17651969,-9.728196,-0.06864655
28910,-0.20593965,-9.973363,-0.02941995
28928,-0.2157463,-10.169496,0.00980665
28948,-0.22555295,-10.051816,-0.06864655
28969,-0.24516624,-10.012589,-0.16671304
28989,-0.2157463,-10.012589,-0.1176798
29011,-0.2157463,-10.061623,-0.16671304
29029,-0.16671304,-10.051816,-0.1372931
29049,-0.17651969,-10.149882,-0.06864655
29069,-0.1372931,-10.169496,-0.0588399
29089,-0.16671304,-10.130269,-0.00980665
29110,-0.20593965,-9.943943,-0.098066494
29130,-0.20593965,-10.0910425,-0.1569064
29150,-0.2353596,-10.0910425,-0.1372931
29170,-0.20593965,-9.914523,-0.0588399
29190,-0.17651969,-9.934136,-0.0784532
29211,-0.1569064,-9.89491,-0.049033247
29230,-0.17651969,-9.973363,-0.06864655
29250,-0.17651969,-10.071429,-0.10787315
29272,-0.22555295,-9.885103,-0.17651969
29295,-0.19613299,-9.80665,-0.088259846
29312,-0.19613299,-10.022396,0.00980665
29331,-0.17651969,-9.885103,-0.0392266
29352,-0.20593965,-9.747809,0.02941995
29373,-0.20593965,-9.914523,-0.0588399
29395,-0.19613299,-10.012589,-0.1176798
29412,-0.19613299,-9.9047165,-0.10787315
29432,-0.20593965,-9.98317,-0.12748645
29452,-0.18632634,-10.061623,-0.0588399
29472,-0.19613299,-9.973363,0.00980665
29497,-0.1372931,-9.855683,-0.02941995
29513,-0.18632634,-9.845877,-0.0392266
29533,-0.20593965,-10.061623,-0.0588399
29552,-0.20593965,-10.149882,-0.1176798
29574,-0.20593965,-10.140076,-0.088259846
29597,-0.18632634,-10.179302,-0.0784532
29633,-0.18632634,-10.032203,0.0392266
29653,-0.20593965,-10.071429,-0.049033247
29673,-0.26477954,-10.130269,-0.0588399
29696,-0.24516624,-10.159689,-0.049033247
29714,-0.2549729,-10.110656,0.0196133
29733,-0.20593965,-9.885103,-0.0196133
29754,-0.20593965,-9.77723,0.0196133
29774,-0.22555295,-9.855683,0.0
29797,-0.20593965,-9.83607,-0.0392266
29814,-0.2157463,-9.875297,-0.0784532
29834,-0.20593965,-9.9047165,-0.049033247
29855,-0.20593965,-9.992976,0.0588399
29876,-0.20593965,-10.032203,0.098066494
29898,-0.22555295,-10.051816,0.00980665
29914,-0.18632634,-10.012589,0.02941995
29939,-0.2157463,-10.071429,-0.049033247
29955,-0.18632634,-9.95375,-0.00980665
29975,-0.2549729,-10.051816,-0.00980665
29999,-0.2157463,-10.081236,0.049033247
30016,-0.24516624,-10.012589,0.02941995
30035,-0.20593965,-10.071429,-0.06864655
30056,-0.2157463,-10.0910425,-0.02941995
30076,-0.2353596,-10.012589,0.049033247
30098,-0.18632634,-10.022396,0.0588399
30117,-0.18632634,-10.120462,0.0196133
30136,-0.20593965,-10.149882,0.00980665
30156,-0.18632634,-10.002783,-0.0196133
30176,-0.20593965,-9.9047165,0.00980665
30198,-0.22555295,-9.885103,0.00980665
30216,-0.19613299,-9.95375,0.0196133
30237,-0.26477954,-9.963556,0.0588399
30257,-0.19613299,-10.061623,-0.02941995
30277,-0.22555295,-9.963556,0.02941995
30301,-0.19613299,-9.9047165,-0.0588399
30317,-0.19613299,-9.80665,-0.0588399
